pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
171059,chrome,2021-03-09 18:51:33,4,0.0,sleeping,0,12247040,11,ramos
171081,chrome,2021-03-09 18:51:34,4,0.0,sleeping,0,133468160,14,ramos
171165,chrome,2021-03-09 18:52:57,4,0.0,sleeping,0,52285440,13,ramos
171473,chrome,2021-03-09 18:55:42,4,0.0,sleeping,0,93552640,12,ramos
171531,chrome,2021-03-09 18:56:54,4,0.0,sleeping,0,10375168,11,ramos
171572,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,11907072,11,ramos
171577,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,19406848,11,ramos
171579,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,13402112,11,ramos
171605,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,12652544,11,ramos
171606,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,12673024,11,ramos
171613,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,14045184,11,ramos
171620,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,11042816,11,ramos
171634,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,11636736,11,ramos
171670,chrome,2021-03-09 18:57:00,4,0.0,sleeping,0,13914112,11,ramos
171751,chrome,2021-03-09 18:57:01,4,0.0,sleeping,0,24641536,11,ramos
171762,chrome,2021-03-09 18:57:01,4,0.0,sleeping,0,10358784,11,ramos
171773,chrome,2021-03-09 18:57:01,4,0.0,sleeping,0,10215424,11,ramos
171786,chrome,2021-03-09 18:57:02,4,0.0,sleeping,0,25624576,13,ramos
171797,chrome,2021-03-09 18:57:02,4,0.0,sleeping,0,10399744,11,ramos
171814,chrome,2021-03-09 18:57:02,4,0.0,sleeping,0,10506240,11,ramos
171825,chrome,2021-03-09 18:57:04,4,0.0,sleeping,0,11309056,11,ramos
171876,chrome,2021-03-09 18:57:08,4,0.0,sleeping,0,38391808,12,ramos
172556,chrome,2021-03-09 19:22:56,4,0.0,sleeping,0,21127168,11,ramos
172567,chrome,2021-03-09 19:22:57,4,0.0,sleeping,0,49188864,11,ramos
173205,kworker/u9:2-i915_flip,2021-03-09 19:43:59,4,0.0,idle,-20,0,1,root
173759,chrome,2021-03-09 19:50:47,4,0.0,sleeping,0,23277568,11,ramos
175830,teams,2021-03-09 21:06:25,4,0.0,sleeping,0,370601984,15,ramos
175987,teams,2021-03-09 21:09:28,4,0.0,sleeping,0,71643136,10,ramos
175999,teams,2021-03-09 21:09:28,4,0.0,sleeping,0,43933696,39,ramos
177139,fwupd,2021-03-09 22:13:34,4,0.0,sleeping,0,0,5,root
177644,code,2021-03-09 22:36:49,4,0.0,sleeping,0,61845504,35,ramos
177646,code,2021-03-09 22:36:49,4,0.0,sleeping,0,786432,1,ramos
177647,code,2021-03-09 22:36:49,4,0.0,sleeping,0,7684096,1,ramos
177679,code,2021-03-09 22:36:50,4,0.0,sleeping,0,16707584,5,ramos
177693,code,2021-03-09 22:36:50,4,0.0,sleeping,0,18149376,5,ramos
177698,code,2021-03-09 22:36:50,4,0.0,sleeping,0,190017536,20,ramos
177736,code,2021-03-09 22:36:51,4,0.0,sleeping,0,94326784,20,ramos
177749,code,2021-03-09 22:36:51,4,0.0,sleeping,0,42745856,20,ramos
177761,code,2021-03-09 22:36:52,4,0.0,sleeping,0,41943040,12,ramos
177792,code,2021-03-09 22:36:53,4,0.0,sleeping,0,17858560,15,ramos
177808,bash,2021-03-09 22:36:53,4,0.0,sleeping,0,1695744,1,ramos
178549,bash,2021-03-09 22:43:46,4,0.0,sleeping,0,1835008,1,ramos
178749,code,2021-03-09 22:45:35,4,0.0,sleeping,0,16289792,8,ramos
178820,kworker/3:4-mm_percpu_wq,2021-03-09 22:45:36,1,0.0,idle,0,0,1,root
179065,TabNine,2021-03-09 22:45:59,4,0.0,sleeping,0,11534336,21,ramos
179094,TabNine,2021-03-09 22:45:59,4,0.0,sleeping,0,584142848,34,ramos
179153,TabNine-deep-local,2021-03-09 22:46:00,4,0.0,sleeping,0,747708416,27,ramos
179492,code,2021-03-09 22:46:48,4,0.0,sleeping,0,19079168,11,ramos
179524,python3.7,2021-03-09 22:46:51,4,0.0,sleeping,0,151855104,2,ramos
180350,kworker/3:1-events,2021-03-09 23:23:53,1,0.0,idle,0,0,1,root
180359,kworker/0:1-mm_percpu_wq,2021-03-10 09:44:57,1,0.0,idle,0,0,1,root
180362,kworker/u8:14-events_power_efficient,2021-03-10 09:44:57,4,0.0,idle,0,0,1,root
180375,kworker/u8:27-events_power_efficient,2021-03-10 09:44:57,4,0.0,idle,0,0,1,root
180377,irq/125-mei_me,2021-03-10 09:44:57,1,0.0,sleeping,0,0,1,root
180396,kworker/0:2-events,2021-03-10 09:44:57,1,0.0,idle,0,0,1,root
180583,cupsd,2021-03-10 09:44:59,4,0.0,sleeping,0,0,1,root
180584,cups-browsed,2021-03-10 09:44:59,4,0.0,sleeping,0,0,3,root
188415,kworker/1:2-cgroup_destroy,2021-03-10 09:50:45,1,0.0,idle,0,0,1,root
188416,kworker/1:3-mm_percpu_wq,2021-03-10 09:50:45,1,0.0,idle,0,0,1,root
188456,chrome,2021-03-10 09:53:23,4,0.0,sleeping,0,92303360,14,ramos
188565,bash,2021-03-10 09:56:30,4,0.0,sleeping,0,2162688,1,ramos
189338,code,2021-03-10 10:11:04,4,0.0,sleeping,0,50360320,8,ramos
190429,kworker/2:0-mm_percpu_wq,2021-03-10 10:33:54,1,0.0,idle,0,0,1,root
191065,kworker/u8:1-events_power_efficient,2021-03-10 10:39:42,4,0.0,idle,0,0,1,root
193505,kworker/2:1-events,2021-03-10 11:03:47,1,0.0,idle,0,0,1,root
193964,chrome,2021-03-10 11:09:58,4,0.0,sleeping,0,11051008,10,ramos
194019,gedit,2021-03-10 11:10:31,4,0.0,sleeping,0,42700800,5,ramos
194389,WD-TabNine,2021-03-10 11:13:14,4,0.0,sleeping,0,16932864,18,ramos
194568,chrome,2021-03-10 11:14:40,4,0.0,sleeping,0,28729344,11,ramos
194588,chrome,2021-03-10 11:14:44,4,0.0,sleeping,0,46231552,11,ramos
195147,python3.7,2021-03-10 11:20:56,4,0.0,sleeping,0,19361792,1,ramos
